english term	urdu equivalent
dipole, dipole moment, [moments]	جفت قطب، جفت قطب کا معیار اثر، [معیار حرکات]
dipole: quadrupole, multipole	چو قطب، متعدد قطب
dipole antenna	جفت قطبی اینٹینا
Dirac: Paul Adrien Maurice Dirac	پال اڈرین مارث ڈیراک
Dirac comb	ڈائی رک کنگھی، ڈیراک کنگھی
Dirac delta function	ڈائی رک ڈیلٹائی تفاعل، ڈیراک ڈیلٹائی تفاعل
direct integral (quantum mech)	بلا واسطہ تکمل،بالراست تکمل
direct method	بلا واسطہ ترکیب، بالراست
direct current  DC	راست رُو، یک سمت رُو
direct reception (antenna)	سیدھی رسائی، سیدھی وصولی، بالراست رسائی یا وصولی
directed line	سمت بند خط
direction	رخ
direction cosines, direction angles	کوسائن رخ، زاویات رخ
direction field (maths)	میدان سمت یا میدان ڈھال
direction:positive direction (another name for positive sense of a curve)	مثبت سمت
directional derivative	رخی تفرق
directivity (antenna)	سمتیت
directly proportional, inversely proportional	راست متناسب، بالعکس متناسب
directrix	ناظمہ
Dirichlet's discontinuous factor; Johann Peter Gustav Lejeune Dirichlet	ڈرشلے غیر استمراری جزو؛ یوہان پیٹر گستاف لیژون ڈرشلے
disadvantage	قباحت، عیب
discharge، charge a capacitor	بار بھرنا، بار کا نکاس
disconnect	منقطع
discontinuous	جوڑ دار
discontinuity	عدم تسلسل
discontinuity: removable,non-removable, jump, infinite	قابل ہٹاو عدم استمرار، نا قابل ہٹاو عدم استمرار، چھلانگ، لا متناہی
discount	قیمت میں چھوٹ
discrete	انفرادی، الگ الگ ٹرانزسٹر، غیر مسلسل
discrete and continuous variables (from matric book)	غیر مسلسل اوراستمراری متغیر
discriminant (indian matric maths)	مقطع [ہندستانی کتاب میں اس کو "ممیز" کہا گیا ہے]
disintegration	ٹکڑے ٹکڑے ہونا
disjoint event	بے ربط وقوعہ
disk, circular disk, disks	قرص، دائری قرص، اقراص
displacement	ہٹاو
displacement current	انتقالی رو
displacement vector	ہٹاو سمتیہ
Dispersion (waves) (matric book)	انتشار، اثر انتشار، منتشر ہونا
dispersion parameter	انتشاری مستقل
dispersion relation	انتشاری رشتہ
distilled water	مقطر پانی
distinct	منفرد
distinguish	وضاحت کرنا، تمیز کرنا
distinguishable particles, indistinguishable particles (quantum mech)	قابل ممیز، غیر قابل ممیز
distorted	بگڑی شکل، مسخ شدہ
distribution:binomial, poisson, multinomial, normal	تقسیم:ثنائی، پوئسن، متعدد رکنی، عمومی
distribution: charge distribution	تقسیم بار
distributed winding	تقسیم شدہ اور غیر تقسیم شدہ لچھے
distributive law	قانون تقسیم، جزئیتی تقسیم
distributive law [maths a(b+c)=ab+ac]	قانون جزئیتی تقسیم
distributor	تقسیم کار
distribution board	تقسیم کار تختہ
disturb	چھیڑ، سکون خراب کرنا
disturb, to disturb a particle,disturbed	اضطراب، ذرہ کو مضطرب کرنا
disturbance	خلل
diver: skydiver	فضائی غوطہ باز
divergence, divergent	انفراج، منفرج
divergence theorem	مسئلہ پھیلاو
divergent (series), convergent series	منفرج تسلسل، مرکوز تسلسل
dividend (maths: the number being divided)	مقسوم
diving board	تختہ غوطہ
divisor (maths: the number that divides)	قاسم
DNA	ڈی این اے
domain: frequency domain, time domain (laplace transform)	دائرہ کار: وقتی دائرہ کار، تعددی دائرہ کار
Domain (t=0:3)	میدان عمل
domain: natural domain	قدرتی دائرہ کار
dome	گنبد
dominant, recessive gene	غالب، مغلوب جین
dominant  (dominant TE11 mode)	غالب
domination	غلبہ
don't care states	غیر استعمال شدہ حالات
dopant	ملاوٹ
dot graph	نقطہ ترسیم
dot product, scalar product	ضربِ نکتہ، مقداری ضرب، غیر سمتی ضرب
double integral	دوہرا تکمل
double: double root	دوہرا: دوہرا جذر
doubler	دگنا کار
doubly	دو چند، دو چند طور پر، دوہرے طور پر
drift	بہاو برقی رو
drift velocity	رفتار بہاو
driving force	متحرک قوت، جبری قوت
driving frequency	جبری تعدد
driving function: (forcing function)	جبری تفاعل
dualism; principle of duality	دوئی؛ دوئی کا اصول
Duffing equation	ڈفنگ مساوات
dummy variable (of integration)	نقلی متغیر
duty cycle	فعال عرصہ
dye	رنگ
dynamic variable	تغیر پذیر متغیر
dynamics, hydrodynamics	حرکیات، ماقوا حرکیات
dynamic procedure	متحرک حکمت عملی
Each:: each point	ہر ایک؛ ہر ایک نقطہ، ایک ایک نقطہ
early, earlier, earlier definition	وہ تعریف جو ہم پہلے پیش کر چکے ہیں
earth epicenter	مرکز زلزلہ
easy axis	آسان محور، آسان سمت، نرم محور، نرم سمت
eccentricity, (eccentric)	سنک، (سنکی)، عن المرکزیت
ecg	برقی قلب نگار
echelon form (matrix), reduced echelon form	زینہ دار، سادہ زینہ دار صورت
echelon: row echelon form	صف زینہ دار
economist	ماہر اقتصادیات
economy	معیشت
eddy currents	بھنور نما رو
edge	کنارہ، دھار
Edward Goursat	ایڈورڈ گرسا
Edward Lowry Norton: norton theorem	ایڈورڈ لوری نارٹن
effective current	موثر رو
effective aperture (antenna)	اخراجی رقبہ
efficiency	کارگزاری
efficient	موثر
Ehrenberg-Siday effect	اہرنبرگ و سڈے اثر
Ehrenfest’s theorem	مسئلہ اہرنفسٹ
Eigenvalues, Eigenvectors, Eigenspace	آئگنی قدر، آئگنی سمتیات، آئگنی اقدار،  آئگنی فضا، امتیازی
eigenfunction: position eigenfunction, momentum eigenfunction	امتیازی تفاعل مقام، امتیازی تفاعل معیار حرکت
Einstein: theory of relativity: Albert Einstein	آئن سٹائن: نظریہ اضافت: البرت آئن شٹائن
ejector, ejection item	برانداز، برانداز رکن
elasticity: Young's modulus of elasticity	ینگ کا مقیاس لچک
electric circuit	برقی دور
electric current	برقی رو
electric flux	برقی بہاو
electric power	برقی طاقت
electric supply	برقی بھم رسانی
electricity	برق
electrode	برقیرہ
electrodynamics	برقی حرکیات
electrolysis	برق پاشی
electronics analog	تناسبی برقیات
electromagnetic waves	برقی مقناطیسی امواج
electromagnetism	برقناطیسیت
electromagnetically	برقی مقناطیسیت کے ذریعہ
electrostatics, magnetostatics	برقی سکون، مقناطیسی سکون، برقی سکونیات
electrostatic potential	برقی ساکن مخفی قوہ، برق ساکن مخفیہ
element	رکن
element of area (maths)	رکن رقبہ
elementary function (maths), non elementary	بنیادی تفاعل، غیر بنیادی تفاعل
elimination	اسقاط
elimination: gauss elimination method	رکیب گاوسی اسقاط
elliptic integral, elliptic polarization of waves, elliptic polarized	بیضوی تکملہ، بیضوی تقطیب موج، بیضوی قطبی
ellipse (maths)	ترخیم
ellipsoid	ترخیمی سطح
elusive, non elusive	مبہم، غیر مبہم، ابہام
email	برقیاتی پتہ، برقیاتی رابطہ
emf	محرک برقی دباؤ: شروع میں بروی طاقت حرکت سے ہی پیدا ہوتی تھی جس سے اس کا نام محرک برقی دباؤ پڑا
emitter follower	تابع مخارج
empirical relation	تجربی رشتہ
empty, non empty	خالی، غیر خالی
enable, disable	مجاز کرنا، معذور کرنا
enamel	روغن
enclosed	ملفوف، لف شدہ
encounter	پیش آنا، دیکھنے کو ملنا
end effects	سروں کے اثرات
energize	طاقت مہیا کرنا
energy, co-energy	توانائی، ہم توانائی
energy: carrier of energy	انتقالِ توانائی
energies	توانائیاں
energy barrier	توانائی روک
energy content	توانائی مشمول
energy gap	درز توانائی
energy levels	سطحیں توانائی
energy loss	ضیاع توانائی
engine	انجن
engineer	معمار
engineering	انجینئری
ensemble	فرقہ
Entangle: entangled, [entanglement]	ہمبستہ، ہمبستگی
entire function	سالم تفاعل
entropy	ناکاگی؟
entry (matrix a_11 etc)	اندراجات
envelope (of AM signal)	غلاف
environment	ماحول
epicycloid	بر تدویر
EPR paradox (einstein, podolsky and rosen)	آئنشٹائن پوڈلسکی و روزن تضاد
equation	مساوات
equation: point-slope and slope-intercept equations	نقطہ و ڈھلوان اور ڈھلوان و قطع مساوات
Equate, equating two equations	ان مساوات کو مساوی رکھتے ہوئے، برابر رکھتے ہوئے
equator	خط استوا
equatorial plane	استوائی مستوی
equidistant	ہم فاصلہ
equilateral triangle	متساوی الاضلاع مثلث
equilibrium: stable equilibrium	مستحکم توازن
equilibrium state	متوازن حال، صورت
equilibrium distance	توازنی فاصلہ
equipotential surface, line	ہم قوہ سطح، خط
equivalent, (equivalence)	معادل، (تعادل)
equivalent weight, function	معادل وزن، تفاعل معادل
equivalent, equivalently	مساوی، مترادف، برابر، مساوی طور پر
Ernest Rutherford	ارنسٹ ردرفورڈ
error	خلل، سہو
error analysis	تجزیہ خلل
error bound	حد خلل
error: building-up error	اجتماع خلل
error function	تفاعل خلل
error function: complementary error function	متمم تفاعل خلل
error estimation	اندازہ خلل
error: experimental error	تجربی خلل
error:truncation error	قطع چال خلل
error: rounding error	پور و پور خلل
error:rounding up, rounding down	اوپر پورا کرنا، نیچے پورا کرنا، اپور پور و پور، نیچے پور و پور
escape	فرار، بچ نکلنا
escape velocity	گریزی رفتار
escribed circle (matric)	جانبی دائرہ
essential	لازمی
estimate, estimation	اندازہ لگانا، اندازاً قیمت
estimate: interval estimate, confidence interval	وقفہ اندازہ، وقفہ اعتماد
estimate: maximum likelihood method	زیدہ سے زیادہ امکان کی ترکیب
estimate: maximum likelihood estimates	زیادہ سے زیادہ امکانی  اندازے
estimate: point estimate, interval estimate	نقطی اندازہ، وقفی اندازہ
Euclidean space	اقلیدسی فضا
Euler's identity	یولر مماثل
Euler: Leonhard Euler	لیون آرڈ یولر
europe	یورپ
evaluate	قیمت تلاش کرنا
evaluation	تخمینہ
evanescent wave (in  lighter medium during total internal reflection)	فنا پذیر موج
even	جفت
event: disjoint; mutually exclusive	بے ربط؛ باہمی بلا شرکت
event, events, elementary event	وقوعہ، بنیادی وقوعہ
event: empty, impossible	خالی وقوعہ، نا ممکن وقوعہ، وقوعات
event: independent events	غیر تابع وقوعات
event: subevent	ذیلی وقوعہ
even ,even ness	جفت، جفت پن
even function symmetry	جفت تفاعل تشاکل
Evert Johannes Nystrom	ایورٹ جوہانس نیستروم
Everett formula (interpolation)	کلیہ ایورٹ
evidently	ظاہراً، ظاہری طور پر
evolution, evolves, [evolving]	ارتقا، ارتقا پانا، [ارتقائی]
exact	عین
exact answer	اصل جواب
exact; exactly 5	بالکل درست، ٹھیک؛ ٹھیک پانچ
exchange operator, interchange	عامل مبادلہ؛ باہمی مبادلہ
exchange integral (quantum mech)	مبادلہ تکمل
excitation current	ہیجان انگیز برقی رو
excitation table (DLD)	ہیجان انگیز جدول
excitation voltage	 ہیجان انگیز برقی دباؤ
excite: to excite	ہیجان پیدا کرنا
excited	ہیجان شدہ
exciter	ہیجان انگیز
existence of solution	وجودیت
expand: expand in power series of x	ایکس کی طاقتی تسلسل توسیع میں لکھ کر
expand:expand in taylor series	ٹیلر تسلسل میں کھولیں
expansion	اتساع، توسیع
expansion coefficients	توسیعی عددی سر
expansion: fourier, power series expansion	فورئیر توسیع، طاقتی تاسیع
expansion and contraction	 سکڑاو اور توسیع
expectation: mathematical expectation	حسابی  توقع
expectation value, expectation	قیمت توقع، توقع،توقعاتی قیمت
expected	متوقع
experimentalist	تجربیت پسند
experimenter	تجربہ گر
explicit function	صریح تفاعل
explicit integration	صریح تکمل
explicitly	صریحاً
exploit	فائدہ اٹھانا
exponent	قوت نما
exponential decay	قوت نمائی انحطاط، قوت نمائی تنزل
exponential function	قوت نمائی تفاعل
exponential Fourier series	قوت نمائی فوریئر تسلسل
expression: mathematical expression	ترکیب، کلیہ، تعلق، جملہ
Extended function, (extension of function)	وسیع تفاعل، (تفاعل کی توسیع)، توسیعی تفاعل
extended complex plane	مبسوط مخلوط سطح
extended power series method	مبسوط طاقتی تسلسل
extension (of idea)	توسیع، توسیعی حالت
external, internal	بیرونی، اندرونی
external,[exterior], out, outside, outer	بیرونی،[بیرون]، کے باہر، باہر، باہر والا
extra	زائد
extrapolate, (extrapolation)	غیر باہمی تحریف
extrema, local extrema, absolute extrema	انتہا، مقامی انتہا، مطلق انتہا
extreme position, values	انتہائی مقام،انتہا مقام، انتہا قیمتیں
face centered lattice	پہلو رخی جالی
face value	پہلوی قیمت
factor	جزو ضربی، اجزائے ضربی
factor analysis	جزو ضربی تجزیہ
factor: winding factor, power factor, power factor angle	لچھے کا جُزو ضربی، طاقت کا جُزو ضربی، طاقت کے جُزو ضربی کا زاویہ
factorization	تجزی؛ بذریعہ تجزی
factorial	عدد ضربیہ، ضربیہ
fabrication industry	اختراعی صنعت
Fabry-Perot interferometer	فیبری و پیروٹ طیف پیما
Fabry-Perot: free spectral range	طیفی حد
factors	اجزائے ضربی
factorization	تجزی
failure (of system)	ناکامی
fall time, rise time	دورانیہ اترائی، دورانیہ چڑھائی
family of curves	خطوط کی نسل
Farad, Michael Faraday	فیراڈ، مائکل فیراڈے، میکائل فیرڈے
faraday shield; shielded wire	فیراڈے پناہ گاہ، پناہ دار تار
fault	نقص
faulty, working	غیر فعال، فعال
features	پہلو، خدوخال
feedback system, feedback circuit	واپسی دور، واپسی نظام
feedback signal	واپسی اشارہ، واپسی خبر، خارجی خبر
feedback positive, negative	مثبت واپسی ایمپلیفائر، منفی واپسی ایمپلیفائر
femto	فیمٹو
Feynman diagrams	فائن من اشکال
Frermat's difference quotient	فرمٹ تفریقی حاصل تقسیم
Fermi-Dirac distribution	فرمی و  ڈیراک تقسیم
Fermi’s Golden rule	فرمی کا سنہرا قانون
Fermi temperature	فرمی درجہ حرارت
fermion	فرمیان
ferrite	فیرائٹ
ferroelectric	برقی چال
ferromagnetic	فولادی مقناطیسی اشیاء
Feynman-Hellmamm theorem	مسئلہ فائنمن  و ہلمن
Fibonacci numbers	فبونیکی اعداد
Field: magnetic field	حلقہ عمل: وہ علاقہ یا جگہ جس میں کسی قوت کا اثر محسوس کیا جائے
field, armature	میدان، قوی لچھا  ؟؟
field: direction field (maths)	میدان ڈھال یا میدان سمت
field, static	ساکن میدان
file: computer file	دستاویز
filter, low pass, high pass, band pass, band stop	پٹی گزار چھلنی، پٹی روک چھلنی، پست گزار چھلنی اور بلند گزار چھلنی
filter, low pass, high pass, band pass, band stop	پٹی گزار فلٹر، پٹی روک فلٹر،بلند گزار اور پست گزار فلٹر
finally	الغرض
fine	باریک
fine structure, hyperfine structure (quantum mech)	مہین ساخت، نہایت مہین ساخت
finite processes	متناہی چال
finite sum	متناہی مجموعہ
Finland	فن لینڈ
fired	داغا
fission	انشقاق
first fundamental form (maths area)	بینادی صورت اول
first order equation	یک رتبی
first order method (numerical methods)	رتبہ اول ترکیب
fit, applicable	موزوں
fit properly	ٹھیک بیٹھنا
fixed	قطعی، معین
fixed point (linear fractional transformation)	مقررہ نقطہ
fixed point system (number representation)	مقررہ نقطہ نظام
flange, flanged	کگر، کگردار
flat surface	چپٹی سطح
fleming's left hand rule	فلیمنگ کا بائیں ہاتھ کا قانون: اس قانون کے مطابق اگر آپ اپنے بائیں ہاتھ کے انگوٹھے، پہلی انگلی اور درمیانی انگلی کو اس طرح پھیلاِئیں کہ تینوں ایک دوسرے کے ساتھ قائمہ زاویہ بنائیں اگر پہلی انگلی مقناطیسی میدان کا رُخ اور درمیانی انگلی برقی رو کا رُخ ظاہر کرے تو انگوٹھا موصل پر لگنے والی قوت کی سمت کو ظاہر کرتا ہے
floating pin	غیر وابسطہ پنیا
floating point system (number representation)	غیر مقررہ نقطہ نظام
floor function	عدد صحیح زمین تفاعل، بڑا ترین عدد تفاعل
flopping frequency: Rabi’s flopping frequency	رابی پلٹنی تعدد 
flow of water	پانی کا بہنا
flow chart	عملی خاکہ
flow integral	تکمل بہاو
fluctuation	اتار چڑھاو
fluid, fluid mechanics	سیال، سیالی میکانیات
fluid pressure	فشار سیال
flux	بہاو
flux linkage	اِرتَباطِ بہاو
focal axis	محور ماسکہ
focal length	طول ماسکہ
focus	ماسکہ
focus (at something)	مرکز نگاہ
fold: two fold	 دو پڑتا
follow, follower	پیروی کرنا، پیرو کار
for, if, then, else, stop	کے لئے، اگر، تب، ورنہ، روک
forbidden band	ممنوعہ پٹی
forbidden energies	ممنوعہ توانائیاں
force	قوت
force: attractive force acts	قوتِ کشش عمل کرتا ہے
force: attractive, repulsive	قوتِ کشش، قوتِ دفع، دافع قوت
forced vibration, forced motion	جبری ارتعاش، جبری حرکت
forced response	جبری رد عمل
forcing function: (differential equations)	جبری قوت
form: form vector space	سمتی فضا پیدا کرنا
formal, informal	با ضابطہ، غیر رسمی
formalize	دستوری شکل دینا
former, latter	اول الذکر، موخر الذکر
fossil fuel, fossil bones	حجریہ ایندھن، حجریہ ہڈی
Foucault pendulum	فوقو لٹکن، فوقو رقاص
fourier: Jean Baptiste Joseph Fourier	ژاں باٹِیسٹ یوسف فوریئر
fourier series, double fourier series	فوریئر تسلسل، دوہرا فوریئر تسلسل
fourier series: exponential series, trignometric series	قوت نمائی فوریئر تسلسل، تکونیاتی فوریئر تسلسل
fourier transform, inverse fourier transform	فوریئر بدل، الٹ فوریئر بدل
FPGAs	جائے استعمال کر تشکیل کے قابل گیٹوں کے صف
fractals (Benoit Mandelbrot)	گنج غیر ہموار منحنی (بنوا منڈلبرا)
fraction, fractions	کسر، کسور
fraction:fraction defective (stats)	تنسبت عیب دار
freedom: degrees of freedom	درجہ آزادی
freedom:number of degrees of freedom	درجہ آزادی کی تعداد
free electron, charge	آزاد الیکٹران (برقیہ)، بار
free spectral range (fabry-perot interferometer)	طیفی حد
french	فرانسیسی
frequency, angular	تعدد، زاویائی تعدد
frequency dependent (circuit)	تعدد تابع
frequency domain: laplace transform	تعددی دائرہ کار
frequency, natural frequency	تعدادِ ارتعاش، قدرتی تعدادِ ارتعاش
frequency: carrier frequency, modulating frequency	تعددِ سوار، تعددِ سواری
frequency: cumulative	مجموعی تعدد
frequency: relative frequency	اضافی تعدد
frequency: cumulative relative frequency	مجموعی اضافی تعدد
frequency: dot frequency diagram	تعددی نقطہ ترسیم
frequency: bar chart	ڈبہ ترسیم
frequency: frequency histogram	تعددی مستطیلی ترسیم
frequency: frequency polygon	تعددی کثیر الااضلاع ترسیم
frequent	کثرت سے پایا جانا
Fresnel integrals  (Augustin-Jean Fresnel)	اگستن ژاں فرسنل، فرسنل تکملات
fresnel integral; complementary fresnel integral	فرسنل تکمل؛ متمم فرسنل تکمل
friction	رگڑ
frictional loss	رگڑی ضیاع
friction: mu=coefficient of kinetic friction	حرکی رگڑ کا مستقل
Friis  (radar formula)	فرائس
fringing	پھول جانا، پھولنا
Frobenius: Ferdinand Georg Frobenius	فرڈینانڈ گیوگ فروبنیوس
Frobenius method	ترکیب فروبنیوس
frustum	مخروط مقطوع
full adder	جمع کرنے والا مکمل دور
full width at half maximum	زیادہ سے زیادہ قیمت کی نصف پر پوری چوڑائی
function: two variable function	دو متغیری تفاعل
function boundary	تفاعلی سرحد
function y(x)	تفاعل۔وائی ایکس کا تفاعل ہے
fundamental	بنیادی
fundamental assumption of statistical mechanics	شماریاتی میکانیتا کا بنیادی مفروضہ
fundamental mode (harmonics)	بنیادی انداز
fuse	فتیلہ
gabriel	جبرائیل
gain, voltage gain, current gain, transconductance gain, transresistance gain	افزائش، افزائشِ برقی دباؤ، افزائش برقی رو، افزائش موصلیت-نما، افزائش مزاحمت نما
Gamma function; incomplete gamma function	گیما تفاعل، غیر مکمل گیما تفاعل
Gamov’s theory of alpha decay	الفا تحلیل کا نظریہ گامو، الفا تنزل کا نظریہ گامو
gap, air gap	درز، خلائی درز
gauge invariant, gauge transformation	گیج غیر متغیر، گیج  تبادلہ، ماپ غیر متغیر، ماپ تبادلہ
Gauss: Johann Carl Friedrich Gauss	یوہان کارل فرڈرش گاوس
Gauss's convergence theorem	گاوسی مسئلہ ارتکاز
Gauss, Gaussian	گاوس، گاوسی
gauss elimination method	گاوسی اسقاط
gaussian	گاوسی
Gauss-Jordan elimination (Wilhelm Jordan)	گاوس و جارڈن اسقاط (ولہلم جارڈن)
Geiger:Hans Geiger	ہانس گائیگر
general: in general	عام طور پر
general solution (differential equations)	عمومی حل
generality: without loss of generality	عمومیت کھوئے بغیر
generally, more generally	عمومی طور پر
generalization, generalize	عمومیت، تعمیم،تعمیماً، تعمیمی
generalized	متعمم
generating function (that generates say Legendre's series)	پیداکار تفاعل
generator	پیدا کار
generator of translations in space (quantum mech)	فضا میں انتقال کا پیداکار
generator of translations in time (quantum mech)	وقت میں انتقال کا پیداکار
generic	کلی، عام
genetics	جینیات
geostationary orbit, geosynchronous	ہم عصر مدار
geology	ارضیات
geometric mean, geometric series	ہندسی اوسط، ہندسی تسلسل
geometric multiplicity	جیومیٹریائی کثرت
geometric phase	جیومیٹریائی ہیّت
geometry, geometrical	جیومیٹری، جیومیٹریائی
Georg Cantor (german pronunciation)	گیورگ کانتور
Gershgorin: Semyon Aronovich Gershgorin	سمیون ارانووچ گرشگرین
Gibbs phenomenon; Josiah Willard Gibbs	مظہر گبس؛ جوشیا ولرڈ گبس
giga byte	گیگا بائیٹ
Girolamo Cardano	جرولامو کردانو
glitch:positive glitch, negative glitch	مثبت برقی لرزش، منفی برقی لرزش
global variable	عالمگیر متغیر
glucose	گلوکوز
golf	گالف
Goodness: goodness of fit	عمدگی: عمدگی موافقت
gradient	ڈھلوان
gradient vector	سمتیہ ڈھلوان
grainy nature	دانہ دار طبع
Gram-Schmidt	گرام و شمد
grand total	میزان کل
graph paper	کاغذ ترسیم
graph: to graph	ترسیم: ترسیم کرنا
graphical analysis	ترسیمی تجزیہ
graphing: computer graphing	کمپیوٹر ترسیم کشی
gravitation	تجاذب
gravitational collapse	تجاذبی انہدام
gravitational force, constant (G)	تجاذبی قوت، تجاذبی مستقل
graviton	گریویٹان
gravity: center of	مرکز ثقل
Gregor Johann Mendel	گرگر یوہان مینڈل
Greek	یونانی
Green's theorem (George Green)	مسئلہ گرین (جارج گرین)
Green's first and second formulae	گرین کلیہ اول، گرین کلیہ دوم
Green: first form of Green's theorem	مسئلہ گرین کی پہلی صورت، مسئلہ گرین کی دوسری صورت
grid,  mesh	جال، خانے
group velocity, phase velocity	دوری سمتی رفتار، مجموعی رفتار، گروہی سمتی تفرات
group delay (dispersion)	مجموعی تاخی، گروہی تاخیرر
group, grouping	گروہ، گروہ بندی
group theory	گروہی نظریہ
growth	بالیدگی
growth rate	شرح نمو
guarantee	ضمانت
guard ring	محافظ حلقہ
gyration, radius of gyration	دوار، حرکت دواری، رداس دوار
H11 (hybrid parameters)	قصر دور داخلی رکاوٹ
h12	کھلے سر الٹ افزائش دباو
h21	قصر دور افزائش رو
h22	کھلے سر خارجی فراوانی
half adder	نصف جمع کرنے والا دور
half life	نصف زندگی
Half-wave matching (transmission lines)	نصف طول موج کی ترکیب، نصف طول موج سے ہم رکاؤت بنانا
Hall effect	ہال اثر
Halley comet	ہالی دم دار ستارہ
Hamiltonian, hamiltonians	ہیملٹنی، ہیملٹنیاں، ہیملٹنیوں، ہیملٹنیے
Hankel functions; Hermann Hankel	ہینکل تفاعل؛ ہرمن ہینکل
Hans Ferdinand Mayer: norton theorem	ہنس فرڈینانڈ میئر
happen: it so happens	ایسا ہوتا ہے، ایسے ہے کہ
harmonic	ہارمونی، سمعیاتِ موسیقی
HCF (highest common factor)	عاد اعظم
head on	رو بہ رو
heat capacity, specific heat capacity	مخصوص حراری استعداد
heat conduction	ایصال حرارت
heat convection	اتصال حرارت
heat energy	حرارتی توانائی
heat equation	حراری مساوات
heat sink	سرد کار
height (above sea level or ground)	ارتفاع، بلندی، اونچائی، قامت
Heisenberg	ہیزنبرگ
helical, spiral	پیچ دار
helicopter	ہیلی کاپٹر
helium, parahelium, [orthohelium]	ہیلیم, نزدہیلیم، [ہیلیم پرست]
helix	پیچ دار
Helmholtz vector equation (Herman Ludwig von Helmholtz)	ہرمن لڈوگ فرڈینانڈ ون ہلم ہولٹز
Henry	ہینری
Hermite polynomials	ہارمائٹ کثیر رکنیر
Hermitian matrix; Charles Hermite	چارلس ہرمائٹ؛ ہرمشی قالب
hermitian, anti-hermitian, skew hermitian	ہرمشی، خلاف ہرمشی، منحرف ہرمشی
hermiticity	ہرمشی پن
hertz: heinrich hertz	ہائنرک ہرٹز
heuristic	تجسسی
hexagon, hexagonal	مسدس، مسدسی
hidden variable	درپردہ متغیر
hierarchy	تنظیمی ڈھانچہ
high energy	بیش توانائی
high, highest, low lowest	بلند، بلند تر، کم، کم تر
higher functions or special functions (maths)	اعلٰی تفاعل
high impedance state	بلند رکاؤٹ حال
higher mathematics	اعٰٰلی ریاضیات
highest order (polynomial term)	اعضم درجہ
Hilbert space, David Hilbert	ہلبرٹ فضا، داؤد ہلبرٹ
hilbert space: live in hilbert space	ہلبرٹ فضا میں بستے ہیں
hint	اشارہ
hold: equation or theorem holds 	کارآمد رہنا، قائم و دائم رہنا، برقرار رہنا
hole, [electron]	خلو، [الیکٹران]
hollow	کھوکھلا
homogeneous, non homogeneous	ہر طرف یکساں خاصیت، ہر طرف غیر یکساں خاصیت، یکساں خاصیت
homogeneous equation, heterogeneous equation	متجانس مسوات، غیر متجانس مساوات
Hooke's law; Robert Hooke	قانون ہک؛ روبرٹ ہک
horizontal	اُفقی
hot wire, live wire	گرم تار، زندہ تار
hour	گھنٹہ
however	البتہ
humidity, relative humidity	رطُوبت، اضافی رطُوبت
Hund’s rules	قواعد ہن
hunting	تعاقب کرنا
Huygen's principle	اصول ہائی گن
hydrogen, deuterium, [deuteron]	ہائیڈروجن، ڈیوٹریم، [ڈیوٹیران]
hydronium (ion)	ہائیڈرونیم (برق پارہ)
hydrogenic	ہائیڈروجنی
hygrometer: hair hygrometer	بال نمی پیما
hyper	بر
hypo	تحت، زیر، فلک
hyperbola, hyperbolas	قطع زائد، قطعات زائد
hyperbolic function, sinh	ہذلولی تفاعل، ہذلولی سائن
hyperboloid	قطع زائد سطح
hypergeometric function	بیش ہندسی تفاعل
hypocycloid	فلک تدویر
Hypothesis: default hypothesis, alternative hypothesis	قیاس: پسندیدہ قیاس، متبادل قیاس
hysteresis, hysteresis loop	مقناطیسی چال، مقناطیسی چال کا دائرہ
ibn Sahl's law of refraction	ابن سھل کا قانون انحراف
IC integrated circuit	مخلوط دور
Icarus asteroid	آئکارس سیارچہ
ice age	برفانی عہد
idea	تصور
ideal	مثالی
ideal, non ideal	کامل: غیر کامل
ideal gas law	مثالی گیس کا قانون
idempotent	یک طاقتی
if ever, if any	اگر ایسا ہو بھی، اگر کبھی ایسا ہو بھی
identical	متماثل
identical particles	یکساں ذرات، متماثل ذرات
identical states (quantum)	یکساں حالات، متماثل حالات
identically zero (maths)	مکمل صفر
identity: euler identity	مماثل: یولر مماثل
identity function	شناختی تفاعل  f(x)=x
identity operator I (maths  Iy=y)	مماثلی عامل
Ill-conditioned equation	بد خو مساوات
Ill-conditioning	بد خوئی
illustrate	اجاگر کرنا
image (maths), preimage	عکس، قبل عکس
Imaginary, pure imaginary (maths)	خیالی، خالص خیالی، تخیلی
imaginary number: (read complex number above)	فرضی عدد، تخیلی عدد
Impedance Z, admittance Y=1/Z	برقی رکاوٹ، برقی فراوانی
impedance: inductive and capacitive	امالی رکاوٹ، برق گیری رکاوٹ
impedance=resistance+reactance	رکاوٹ=مزاحمت+متعاملیت
impedance transformation	برقی رکاؤٹ کا تبادلہ، تبادلہ رکاوٹ
impedance: transverse electric wave impedance	عرضی برقی موج کی رکاوٹ
impirical	عملی
implementation	جامع عمل پہنانا
implication	مضمر، مضمرات
implicit function	خفی تفاعل
imply	مراد ہونا
improper point (infinity)	غیر مناسب
impulse function: unit impulse function, Dirac delta function	اکائی ضرب تفاعل، ڈیراک ڈیلٹائی تفاعل
impulse response	اکائی ضرب تفاعل ردعمل
incandescent lamp	بتی
in, out, input, output, input value, output value	،درآمد، برآمد، داخل، خارج
input variable of a function	داخلی متغیر
In-phase	ہم زاویہ، ہم دور
